uuid,bogo ops,real time (secs),usr time (secs),sys time (secs),bogo ops/s (real time),bogo ops/s (usr+sys time)
7F34814E-701F-4E56-A351-2191F726914D,186143,60.03,959.78,0.09,3100.63,193.93
163B51D3-508A-48C6-B5D2-FB3194AB1629,195005,60.03,959.88,0.04,3248.32,203.15
303540C9-566B-4059-9164-10FE22867EE5,195719,60.02,959.72,0.04,3260.74,203.92
473A0F6B-D932-47D4-B535-CC0088140C7C,187403,60.02,959.58,0.13,3122.27,195.27
B70F0BBB-54FD-44E3-AE5A-4A369FC409A4,141956,60.03,959.72,0.01,2364.79,147.91
72B24A17-7766-44D6-93DE-777D6054D76B,142688,60.02,959.55,0.02,2377.41,148.70
B19D7B53-1BAC-4BF2-A9E6-D25A741AEA6D,142327,60.04,959.72,0.05,2370.70,148.29
D5A3631C-679B-46A4-B8ED-B1B0D3ABA8F5,142476,60.03,959.71,0.03,2373.37,148.45
F5310698-ED6E-4068-98CF-C59F4A079CB9,134125,60.02,900.63,0.02,2234.66,148.92
95DD8867-87D2-42AA-A3B5-5F98CF2A5565,134894,60.03,899.42,0.05,2247.11,149.97
2375433E-6407-4578-8CC4-14DF397419CE,133219,60.04,900.13,0.02,2218.93,148.00
868C1552-B237-452E-AD8F-6187F3C52A0D,133316,60.04,887.95,11.83,2220.49,148.17
96C0CE57-0226-4EDE-938E-8BC385E089FD,133117,60.04,883.29,12.75,2217.28,148.56
F41533C1-985D-4DCA-AF0D-1B697D4FB86E,132242,60.04,883.48,12.79,2202.74,147.55
C960D560-5B89-4087-BAE2-5999C964E9B7,142590,60.02,959.59,0.03,2375.63,148.59
8C137133-A8F1-4A72-B615-141C1B3775E9,133527,60.03,886.35,11.68,2224.50,148.69
8DE80747-C73A-47A4-B630-ED82632044F5,139353,60.03,959.25,0.03,2321.44,145.27
6214B7E2-DF0D-407E-B10F-E5318DF07FF9,139509,60.03,959.75,0.04,2323.84,145.35
E12629F1-6F1F-400E-81B3-9381AE19CB3F,140095,60.02,959.61,0.02,2334.01,145.99
042F2FD6-2EC4-40F6-97E3-1E5FB5DFDD4F,140677,60.02,959.59,0.01,2343.71,146.60
0414B74D-3435-41FF-8173-1B0219961250,213470,60.03,959.92,0.00,3556.09,222.38
9936F076-94D8-4696-96B8-912556C3BEA5,213745,60.03,959.94,0.00,3560.68,222.66
9C5F1B5D-1A7A-44B8-8E14-D52D942075F5,213346,60.02,959.82,0.00,3554.45,222.28
057E1391-6932-4C0C-80E6-CCCCA12935A8,213592,60.02,959.72,0.01,3558.81,222.55
17954610-5F5E-4587-9A7A-BAE08387DF90,213768,60.02,959.58,0.00,3561.46,222.77
6485AA0C-1E7D-4BC4-82F1-5AFF1A050E34,159443,60.01,672.76,0.33,2656.95,236.88
D0084A17-1703-456C-92E1-C41B8E605D6E,213370,60.01,936.08,1.54,3555.48,227.57
39BE06FA-3EB1-4B45-B856-A7E04C042AAC,157381,60.02,665.86,0.27,2622.01,236.26
B1AE8CEF-9C64-42CF-A158-BF29135CD692,212711,60.02,936.76,1.37,3543.99,226.74
DE9B2E5E-111B-40BC-8788-EA4D6629A032,162583,60.03,686.48,0.36,2708.57,236.71
7BE67DE9-784A-48B6-9B0F-E5AA5AC2EFFA,213678,60.01,936.13,1.43,3560.67,227.91
E958481D-71AF-4522-ACEE-1A5C3BD1C8AC,161249,60.02,679.84,0.38,2686.78,237.05
75336946-D741-4AF7-BBC6-A55B27922DDD,212861,60.01,959.59,0.01,3547.15,221.82
64C9303B-D757-4AC8-9CC7-EFA279D785BE,213124,60.02,959.73,0.01,3551.08,222.06
9E7CF873-2366-4522-9585-2BBFB83453B4,212798,60.03,959.88,0.02,3545.06,221.69
25B427A3-40A1-43CF-BD52-E281D40CE267,213418,60.03,959.92,0.02,3555.25,222.32
D4A2E9C1-61B6-49F0-903E-546AA496CA34,142462,60.06,960.12,0.03,2372.04,148.37
883410B9-A1BD-45C1-BBFF-1F653F65629B,142568,60.03,959.68,0.04,2374.96,148.55
0A0D7925-2568-406B-B0ED-65E17C070C2C,142665,60.01,959.40,0.06,2377.18,148.69
F51C23DE-5348-4CCE-BFCF-B43EA012E5A4,142570,60.03,959.69,0.03,2375.09,148.55
206689DB-D93D-4C78-9BA2-64EFB596B76F,142228,60.05,959.85,0.02,2368.60,148.17
3D8413B8-A601-4FD3-B2E0-4E2BAB341D36,107124,60.03,722.18,0.38,1784.59,148.26
48A61A3F-238C-4D59-B1F7-A0ABC6B62CBA,136910,60.05,920.95,3.64,2279.97,148.08
1DE22989-089C-4D86-B9A9-EC3993074E0C,108065,60.02,729.36,0.64,1800.35,148.03
B55A58C1-5B0A-422D-8211-9F628C2BE00D,136510,60.03,919.03,4.69,2274.20,147.78
9E9EE669-76DF-433A-9642-FD0C7A88D474,108196,60.05,730.60,0.61,1801.83,147.97
ED4AC733-3C93-4C7E-B8ED-A0783C4E0E57,137065,60.02,920.33,3.73,2283.58,148.33
DCD94F12-D114-4322-AC81-E4E5A1560601,105317,60.02,709.80,0.34,1754.62,148.30
3BA08905-9845-410C-8736-7D30CD6D4C95,140130,60.04,959.92,0.04,2333.80,145.97
3776101D-9951-4367-9FEF-9EEC0A299E79,139631,60.03,959.70,0.01,2326.17,145.49
18C69D93-7384-47D4-B07B-94837ACA4AF1,140067,60.03,959.66,0.03,2333.39,145.95
150B2D59-9D69-4BCF-9C7C-DB3094A08B42,139725,60.04,959.77,0.08,2327.36,145.57
18E45C62-9715-4CE9-BCC1-795F30E3CCF0,281363,60.01,959.51,0.06,4688.55,293.22
