uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
7F34814E-701F-4E56-A351-2191F726914D,1,4370.28,0.00,240.0002,0.00,0.01,11.12,0.01,227337.75
7F34814E-701F-4E56-A351-2191F726914D,4,15359.35,0.00,240.0002,0.00,0.01,14.21,0.01,896411.68
7F34814E-701F-4E56-A351-2191F726914D,8,24711.88,0.00,240.0002,0.00,0.01,13.57,0.01,1768788.65
7F34814E-701F-4E56-A351-2191F726914D,16,29122.15,0.00,240.0002,0.00,0.02,17.25,0.02,3395620.28
7F34814E-701F-4E56-A351-2191F726914D,32,29392.20,0.00,240.0003,0.00,0.02,27.61,0.03,5487385.83
7F34814E-701F-4E56-A351-2191F726914D,64,29617.18,0.00,240.0005,0.00,0.04,71.20,0.03,9590781.26
163B51D3-508A-48C6-B5D2-FB3194AB1629,1,4641.68,0.00,240.0001,0.00,0.01,10.45,0.01,227619.36
163B51D3-508A-48C6-B5D2-FB3194AB1629,4,15825.41,0.00,240.0001,0.00,0.01,13.73,0.01,895865.94
163B51D3-508A-48C6-B5D2-FB3194AB1629,8,25303.79,0.00,240.0002,0.00,0.01,16.33,0.01,1753934.02
163B51D3-508A-48C6-B5D2-FB3194AB1629,16,30732.84,0.00,240.0002,0.00,0.01,13.97,0.02,3455644.72
163B51D3-508A-48C6-B5D2-FB3194AB1629,32,30548.51,0.00,240.0004,0.00,0.02,30.55,0.02,5516645.29
163B51D3-508A-48C6-B5D2-FB3194AB1629,64,29569.47,0.00,240.0005,0.00,0.04,56.60,0.04,9504504.32
303540C9-566B-4059-9164-10FE22867EE5,1,4672.56,0.00,240.0002,0.00,0.01,12.25,0.01,227777.75
303540C9-566B-4059-9164-10FE22867EE5,4,15927.28,0.00,240.0009,0.00,0.01,14.40,0.01,894738.58
303540C9-566B-4059-9164-10FE22867EE5,8,25832.49,0.00,240.0002,0.00,0.01,15.14,0.01,1772212.52
303540C9-566B-4059-9164-10FE22867EE5,16,30708.84,0.00,240.0002,0.00,0.01,15.48,0.02,3455098.29
303540C9-566B-4059-9164-10FE22867EE5,32,30382.18,0.00,240.0002,0.00,0.02,29.71,0.02,5492803.36
303540C9-566B-4059-9164-10FE22867EE5,64,29107.15,0.00,240.0005,0.00,0.04,76.72,0.03,9556790.29
473A0F6B-D932-47D4-B535-CC0088140C7C,1,4071.62,0.00,240.0001,0.00,0.01,8.72,0.01,227389.18
473A0F6B-D932-47D4-B535-CC0088140C7C,4,14776.57,0.00,240.0004,0.00,0.01,13.38,0.01,894640.38
473A0F6B-D932-47D4-B535-CC0088140C7C,8,24908.23,0.00,240.0002,0.00,0.01,14.47,0.01,1764570.82
