uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
7F34814E-701F-4E56-A351-2191F726914D,1,0.00,57.71,240.0007,0.15,0.54,27.96,0.77,239344.62
7F34814E-701F-4E56-A351-2191F726914D,4,0.00,247.31,240.0003,0.14,0.50,74.86,0.80,957496.07
7F34814E-701F-4E56-A351-2191F726914D,8,0.00,493.03,240.0006,0.14,0.51,189.20,0.86,1914142.20
7F34814E-701F-4E56-A351-2191F726914D,16,0.00,698.22,240.0009,0.14,0.71,234.65,1.37,3829487.21
7F34814E-701F-4E56-A351-2191F726914D,32,0.00,755.80,240.0066,0.15,1.32,78.60,2.30,7665879.84
7F34814E-701F-4E56-A351-2191F726914D,64,0.00,766.70,240.0296,0.15,2.61,54.91,16.12,15345636.77
163B51D3-508A-48C6-B5D2-FB3194AB1629,1,0.00,61.40,240.0001,0.15,0.51,33.71,0.72,239384.34
163B51D3-508A-48C6-B5D2-FB3194AB1629,4,0.00,273.49,240.0001,0.14,0.46,74.47,0.68,957616.61
163B51D3-508A-48C6-B5D2-FB3194AB1629,8,0.00,527.35,240.0005,0.14,0.47,74.26,0.77,1914393.76
163B51D3-508A-48C6-B5D2-FB3194AB1629,16,0.00,740.02,240.0017,0.14,0.67,165.75,1.12,3829423.40
163B51D3-508A-48C6-B5D2-FB3194AB1629,32,0.00,758.62,240.0006,0.15,1.32,105.51,1.76,7666275.62
163B51D3-508A-48C6-B5D2-FB3194AB1629,64,0.00,766.81,240.0269,0.15,2.61,208.87,24.83,15347478.79
303540C9-566B-4059-9164-10FE22867EE5,1,0.00,67.51,240.0004,0.15,0.46,130.38,0.62,239346.80
303540C9-566B-4059-9164-10FE22867EE5,4,0.00,283.09,240.0002,0.14,0.44,20.26,0.64,957393.14
303540C9-566B-4059-9164-10FE22867EE5,8,0.00,544.55,240.0004,0.14,0.46,37.06,0.75,1914155.82
303540C9-566B-4059-9164-10FE22867EE5,16,0.00,741.87,240.0075,0.14,0.67,161.78,1.12,3828693.30
303540C9-566B-4059-9164-10FE22867EE5,32,0.00,759.32,240.0011,0.14,1.31,160.62,1.73,7665940.87
303540C9-566B-4059-9164-10FE22867EE5,64,0.00,766.86,240.0245,0.15,2.61,108.86,23.52,15346952.73
473A0F6B-D932-47D4-B535-CC0088140C7C,1,0.00,55.08,240.0005,0.15,0.57,54.81,0.78,239428.79
473A0F6B-D932-47D4-B535-CC0088140C7C,4,0.00,263.79,240.0003,0.14,0.47,32.68,0.72,957476.16
473A0F6B-D932-47D4-B535-CC0088140C7C,8,0.00,434.48,240.0007,0.14,0.57,188.91,1.03,1914981.11
473A0F6B-D932-47D4-B535-CC0088140C7C,16,0.00,691.93,240.0006,0.14,0.72,170.53,1.42,3828610.21
