uuid,Interval,Transfer,Bandwidth
7F34814E-701F-4E56-A351-2191F726914D,0.0-60.0,18.8 G,2.70 G
163B51D3-508A-48C6-B5D2-FB3194AB1629,0.0-60.0,20.3 G,2.90 G
303540C9-566B-4059-9164-10FE22867EE5,0.0-60.0,20.2 G,2.89 G
473A0F6B-D932-47D4-B535-CC0088140C7C,0.0-60.0,19.7 G,2.82 G
B70F0BBB-54FD-44E3-AE5A-4A369FC409A4,0.0-60.0,52.1 G,7.46 G
72B24A17-7766-44D6-93DE-777D6054D76B,0.0-60.0,52.1 G,7.46 G
B19D7B53-1BAC-4BF2-A9E6-D25A741AEA6D,0.0-60.0,52.2 G,7.47 G
D5A3631C-679B-46A4-B8ED-B1B0D3ABA8F5,0.0-60.0,52.1 G,7.46 G
F5310698-ED6E-4068-98CF-C59F4A079CB9,0.0-60.0,52.2 G,7.47 G
95DD8867-87D2-42AA-A3B5-5F98CF2A5565,0.0-60.0,52.1 G,7.47 G
2375433E-6407-4578-8CC4-14DF397419CE,0.0-60.0,52.2 G,7.47 G
868C1552-B237-452E-AD8F-6187F3C52A0D,0.0-60.0,52.2 G,7.47 G
96C0CE57-0226-4EDE-938E-8BC385E089FD,0.0-60.0,52.2 G,7.47 G
F41533C1-985D-4DCA-AF0D-1B697D4FB86E,0.0-60.0,52.2 G,7.47 G
C960D560-5B89-4087-BAE2-5999C964E9B7,0.0-60.0,52.2 G,7.47 G
8C137133-A8F1-4A72-B615-141C1B3775E9,0.0-60.0,52.1 G,7.47 G
8DE80747-C73A-47A4-B630-ED82632044F5,0.0-60.0,52.1 G,7.46 G
6214B7E2-DF0D-407E-B10F-E5318DF07FF9,0.0-60.0,52.1 G,7.46 G
E12629F1-6F1F-400E-81B3-9381AE19CB3F,0.0-60.0,52.1 G,7.46 G
042F2FD6-2EC4-40F6-97E3-1E5FB5DFDD4F,0.0-60.0,52.2 G,7.47 G
0414B74D-3435-41FF-8173-1B0219961250,0.0-60.0,47.0 G,6.73 G
9936F076-94D8-4696-96B8-912556C3BEA5,0.0-60.0,47.0 G,6.73 G
9C5F1B5D-1A7A-44B8-8E14-D52D942075F5,0.0-60.0,47.0 G,6.73 G
057E1391-6932-4C0C-80E6-CCCCA12935A8,0.0-60.0,47.0 G,6.73 G
17954610-5F5E-4587-9A7A-BAE08387DF90,0.0-60.0,47.0 G,6.73 G
6485AA0C-1E7D-4BC4-82F1-5AFF1A050E34,0.0-60.0,47.0 G,6.73 G
D0084A17-1703-456C-92E1-C41B8E605D6E,0.0-60.0,47.0 G,6.73 G
39BE06FA-3EB1-4B45-B856-A7E04C042AAC,0.0-60.0,47.0 G,6.73 G
B1AE8CEF-9C64-42CF-A158-BF29135CD692,0.0-60.0,47.0 G,6.73 G
DE9B2E5E-111B-40BC-8788-EA4D6629A032,0.0-60.0,47.0 G,6.73 G
7BE67DE9-784A-48B6-9B0F-E5AA5AC2EFFA,0.0-60.0,47.0 G,6.73 G
E958481D-71AF-4522-ACEE-1A5C3BD1C8AC,0.0-60.0,47.0 G,6.73 G
75336946-D741-4AF7-BBC6-A55B27922DDD,0.0-60.0,47.0 G,6.73 G
64C9303B-D757-4AC8-9CC7-EFA279D785BE,0.0-60.0,47.0 G,6.73 G
9E7CF873-2366-4522-9585-2BBFB83453B4,0.0-60.0,47.0 G,6.73 G
25B427A3-40A1-43CF-BD52-E281D40CE267,0.0-60.0,47.0 G,6.73 G
D4A2E9C1-61B6-49F0-903E-546AA496CA34,0.0-60.0,51.9 G,7.43 G
883410B9-A1BD-45C1-BBFF-1F653F65629B,0.0-60.0,52.0 G,7.45 G
0A0D7925-2568-406B-B0ED-65E17C070C2C,0.0-60.0,52.2 G,7.47 G
F51C23DE-5348-4CCE-BFCF-B43EA012E5A4,0.0-60.0,52.0 G,7.45 G
206689DB-D93D-4C78-9BA2-64EFB596B76F,0.0-60.0,52.1 G,7.45 G
3D8413B8-A601-4FD3-B2E0-4E2BAB341D36,0.0-60.0,52.1 G,7.45 G
48A61A3F-238C-4D59-B1F7-A0ABC6B62CBA,0.0-60.0,52.0 G,7.44 G
1DE22989-089C-4D86-B9A9-EC3993074E0C,0.0-60.0,52.1 G,7.45 G
B55A58C1-5B0A-422D-8211-9F628C2BE00D,0.0-60.0,52.0 G,7.45 G
9E9EE669-76DF-433A-9642-FD0C7A88D474,0.0-60.0,52.1 G,7.45 G
ED4AC733-3C93-4C7E-B8ED-A0783C4E0E57,0.0-60.0,52.1 G,7.45 G
DCD94F12-D114-4322-AC81-E4E5A1560601,0.0-60.0,52.1 G,7.45 G
3BA08905-9845-410C-8736-7D30CD6D4C95,0.0-60.0,52.2 G,7.47 G
3776101D-9951-4367-9FEF-9EEC0A299E79,0.0-60.0,52.2 G,7.47 G
18C69D93-7384-47D4-B07B-94837ACA4AF1,0.0-60.0,52.1 G,7.46 G
150B2D59-9D69-4BCF-9C7C-DB3094A08B42,0.0-60.0,52.2 G,7.47 G
18E45C62-9715-4CE9-BCC1-795F30E3CCF0,0.0-60.0,34.4 G,4.93 G
DBC12FF4-8385-4C24-9286-87A04AE30649,0.0-60.0,31.5 G,4.51 G
672A8E0D-F292-4F99-A826-AD8BAABA6EFC,0.0-60.0,34.4 G,4.93 G
E1A2D670-4630-47D0-86D2-888620B31B00,0.0-60.0,33.0 G,4.72 G
1A028CF7-F3F0-46DE-837B-E2FD2171655E,0.0-60.0,33.8 G,4.84 G
23E5BAC4-98F8-450F-AE26-B16C4AEB3FA2,0.0-60.0,33.0 G,4.73 G
2CD414E2-CAF1-4AB6-972A-54017D2FFD19,0.0-60.0,34.4 G,4.92 G
3AC8718C-8FD9-4217-994A-B21DE5F9E0FD,0.0-60.0,31.5 G,4.51 G
9C0B4490-56F7-4D2E-AD8E-6826735ED286,0.0-60.0,34.0 G,4.87 G
0BB15E7E-C838-4C82-8922-B20F8E8497E7,0.0-60.0,33.1 G,4.74 G
EC3F6D3B-9CE8-459D-93CA-43A36CEFEAF8,0.0-60.0,31.4 G,4.50 G
829B4A08-8A89-4416-B8D5-0F269A9B55B5,0.0-60.0,30.1 G,4.31 G
C0A645D5-9A0B-4A02-9EDB-68D88D21D32D,0.0-60.0,31.8 G,4.56 G
FD8DC000-6BEE-4AAA-BC79-7095502CA59B,0.0-60.0,31.9 G,4.57 G
7ECDFB57-D9BF-445B-8D5A-7D178B23F4F0,0.0-60.0,31.7 G,4.54 G
F161DC34-10A3-47A6-AD8E-F129BBE7B416,0.0-60.0,33.8 G,4.83 G
32EB54C9-35B2-4DB9-8DB2-E21C11659E90,0.0-60.0,15.7 G,2.25 G
99D9236B-77E6-44BC-9A71-04B0D64A14E0,0.0-60.0,15.3 G,2.19 G
45C21413-42E3-471A-973C-31BD9A6E2BB5,0.0-60.0,16.2 G,2.33 G
CE960725-AEFA-42FB-A84A-D0CE779C1F83,0.0-60.0,16.4 G,2.35 G
93F23B9D-633D-471D-A034-7D7B5EAA6086,0.0-60.0,73.8 G,10.6 G
284DACE2-B1BF-4FBE-8848-BFEE20C775FC,0.0-60.0,74.4 G,10.6 G
C1373983-8043-4F73-A6B9-60667B7F0457,0.0-60.0,73.4 G,10.5 G
9C039552-BDC9-4163-B55E-0016C5B5CAFF,0.0-60.0,75.4 G,10.8 G
C12A4914-0988-4545-B4F1-F5B1CB5573AA,0.0-60.0,70.9 G,10.1 G
57ECF028-64A9-42A9-AFB3-BFC5DCCE1BBF,0.0-60.0,70.6 G,10.1 G
78B20177-2234-46C5-A4C4-CA31ACBBC4E2,0.0-60.0,70.9 G,10.2 G
B004FE45-754D-4538-9D02-0E027259C9B7,0.0-60.0,72.0 G,10.3 G
95FB7AB3-4EA2-4FE7-AAB7-9F55039007CF,0.0-60.0,70.0 G,10.0 G
2B6D1A5F-97AC-493C-B76B-583F27789F68,0.0-60.0,70.6 G,10.1 G
03FF75F9-FB13-465D-9C3F-9BA709A54975,0.0-60.0,73.3 G,10.5 G
3E91C6B2-848F-477B-846D-2F8065D22EBA,0.0-60.0,74.4 G,10.7 G
96C49EFA-CE8D-4F7C-9D01-860D76FCDB95,0.0-60.0,78.1 G,11.2 G
52919306-E76B-45AE-9962-E6D3A952EA82,0.0-60.0,78.2 G,11.2 G
207B6BA0-9568-4BFF-B6E6-616CEBEB99AE,0.0-60.0,78.2 G,11.2 G
3D0AAC2B-4C94-4596-A2F0-61E45191413A,0.0-60.0,78.2 G,11.2 G
7A16F2A3-4884-4F3D-9BBA-7DFAE2A541D8,0.0-60.0,77.5 G,11.1 G
75215D8A-E26E-45B5-8EC4-1679AF6E102F,0.0-60.0,77.8 G,11.1 G
94D21989-95C1-49D2-9A0C-A066D706312F,0.0-60.0,78.0 G,11.2 G
52EAAD59-6A81-46D0-9C49-80A29DE76B55,0.0-60.0,77.3 G,11.1 G
CAECFE7D-D99D-48BE-B493-7765B13945D2,0.0-60.0,77.0 G,11.0 G
78B829EE-3C91-4028-AE12-C435A201AED5,0.0-60.0,78.0 G,11.2 G
686D2632-5AE9-4A61-8325-A49E9029E195,0.0-60.0,77.1 G,11.0 G
153AF4E6-3D4F-47FA-8A6C-4D788B4A596E,0.0-60.0,77.7 G,11.1 G
642971C1-9972-45E4-9A26-1E0EC6FD7A47,0.0-60.0,77.7 G,11.1 G
5CAF882A-D8E6-4AEC-BCD1-D0576959193E,0.0-60.0,78.0 G,11.2 G
5313C205-8934-482F-8334-42A70AAA08DE,0.0-60.0,77.8 G,11.1 G
D953B28D-8DAE-4E91-9239-E9F477A6F785,0.0-60.0,78.1 G,11.2 G
EFF3FFC0-FBC3-492A-9EBC-A299B0319EB3,0.0-60.0,112 G,16.0 G
E97A58C3-DDB1-40CB-AA97-0694A4347531,0.0-60.0,111 G,15.9 G
13A142B8-B901-4B7C-9431-A344A0020F88,0.0-60.0,112 G,16.0 G
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,0.0-60.0,112 G,16.0 G
64F1167D-3042-4B9A-AC0C-033BA9C8B86D,0.0-60.0,112 G,16.0 G
6735C148-E85F-4FCA-89FD-7FCD78C9C746,0.0-60.0,61.7 G,8.83 G
08A02228-F4A3-40E6-B129-7E4B9AD681B8,0.0-60.0,60.6 G,8.68 G
35111318-2E49-4484-A19C-DC2371982FC5,0.0-60.0,112 G,16.0 G
DF1C287B-75D8-4B41-AD02-A34B729BF731,0.0-60.0,112 G,16.0 G
E0F146DE-CE4C-4939-93AA-BDA9C203DC65,0.0-60.0,112 G,16.0 G
00454095-84A2-45B9-A736-93050D10B4DC,0.0-60.0,112 G,16.0 G
07B6EE89-902C-45E2-A356-66EB4E6E0ACF,0.0-60.0,175 G,25.1 G
5E670BCE-DC3E-489C-BC7C-73FA52FDAFAB,0.0-60.0,177 G,25.3 G
2EF02E00-FC44-49AF-90D7-36A22C2604C8,0.0-60.0,177 G,25.3 G
C5AD14A7-E43B-40BF-9CB6-CAD5706DF0F3,0.0-60.0,177 G,25.4 G
5BFA93F4-8EB1-4BE9-8908-AAE447DE74EE,0.0-60.0,179 G,25.6 G
894A6AD1-F8CD-4005-8C9C-892DF2B3F8CA,0.0-60.0,135 G,19.3 G
552146F0-5850-4968-AD22-0A27435148F6,0.0-60.0,142 G,20.3 G
C1DBF02E-BF96-4DB9-AEAC-DB9C8AC41D2F,0.0-60.0,140 G,20.0 G
5C75DE0F-6308-4E31-A553-D7CE00E227ED,0.0-60.0,130 G,18.6 G
E765935D-41E2-4A84-BA88-9121D85BD1BF,0.0-60.0,137 G,19.6 G
1D251DF3-274D-4191-AD16-01878DBB9A49,0.0-60.0,136 G,19.4 G
