uuid,rtt min,rtt avg,rtt max,rtt mdev
7F34814E-701F-4E56-A351-2191F726914D,0.431,0.616,0.936,0.077
163B51D3-508A-48C6-B5D2-FB3194AB1629,0.417,0.611,1.527,0.111
303540C9-566B-4059-9164-10FE22867EE5,0.403,0.589,0.897,0.079
473A0F6B-D932-47D4-B535-CC0088140C7C,0.377,0.557,1.187,0.086
B70F0BBB-54FD-44E3-AE5A-4A369FC409A4,0.588,0.803,2.699,0.187
72B24A17-7766-44D6-93DE-777D6054D76B,0.503,0.727,1.106,0.109
B19D7B53-1BAC-4BF2-A9E6-D25A741AEA6D,0.530,0.726,1.917,0.113
D5A3631C-679B-46A4-B8ED-B1B0D3ABA8F5,0.506,0.747,2.202,0.142
F5310698-ED6E-4068-98CF-C59F4A079CB9,0.577,0.860,7.404,0.559
95DD8867-87D2-42AA-A3B5-5F98CF2A5565,0.579,0.799,4.929,0.332
2375433E-6407-4578-8CC4-14DF397419CE,0.576,0.775,4.451,0.240
868C1552-B237-452E-AD8F-6187F3C52A0D,0.553,0.798,4.064,0.301
96C0CE57-0226-4EDE-938E-8BC385E089FD,0.549,0.761,4.533,0.342
F41533C1-985D-4DCA-AF0D-1B697D4FB86E,0.577,0.785,4.615,0.270
C960D560-5B89-4087-BAE2-5999C964E9B7,0.556,0.749,2.456,0.158
8C137133-A8F1-4A72-B615-141C1B3775E9,0.504,0.736,1.597,0.131
8DE80747-C73A-47A4-B630-ED82632044F5,0.465,0.685,3.545,0.210
6214B7E2-DF0D-407E-B10F-E5318DF07FF9,0.576,0.778,1.488,0.094
E12629F1-6F1F-400E-81B3-9381AE19CB3F,0.540,0.730,3.477,0.202
042F2FD6-2EC4-40F6-97E3-1E5FB5DFDD4F,0.480,0.743,1.139,0.115
0414B74D-3435-41FF-8173-1B0219961250,0.256,0.454,1.601,0.118
9936F076-94D8-4696-96B8-912556C3BEA5,0.330,0.531,4.162,0.329
9C5F1B5D-1A7A-44B8-8E14-D52D942075F5,0.330,0.509,3.360,0.223
057E1391-6932-4C0C-80E6-CCCCA12935A8,0.270,0.471,4.244,0.351
17954610-5F5E-4587-9A7A-BAE08387DF90,0.257,0.441,1.033,0.093
6485AA0C-1E7D-4BC4-82F1-5AFF1A050E34,0.318,0.482,0.684,0.072
D0084A17-1703-456C-92E1-C41B8E605D6E,0.304,0.479,1.600,0.108
39BE06FA-3EB1-4B45-B856-A7E04C042AAC,0.317,0.470,0.739,0.073
B1AE8CEF-9C64-42CF-A158-BF29135CD692,0.311,0.477,0.729,0.078
DE9B2E5E-111B-40BC-8788-EA4D6629A032,0.327,0.480,0.703,0.071
7BE67DE9-784A-48B6-9B0F-E5AA5AC2EFFA,0.324,0.533,7.110,0.414
E958481D-71AF-4522-ACEE-1A5C3BD1C8AC,0.301,0.504,3.266,0.218
75336946-D741-4AF7-BBC6-A55B27922DDD,0.249,0.391,0.648,0.080
64C9303B-D757-4AC8-9CC7-EFA279D785BE,0.234,0.429,1.014,0.094
9E7CF873-2366-4522-9585-2BBFB83453B4,0.212,0.397,0.885,0.087
25B427A3-40A1-43CF-BD52-E281D40CE267,0.245,0.400,0.641,0.071
D4A2E9C1-61B6-49F0-903E-546AA496CA34,0.466,0.640,3.547,0.218
883410B9-A1BD-45C1-BBFF-1F653F65629B,0.472,0.700,13.251,0.778
0A0D7925-2568-406B-B0ED-65E17C070C2C,0.510,0.668,6.013,0.326
F51C23DE-5348-4CCE-BFCF-B43EA012E5A4,0.494,0.853,28.123,1.962
206689DB-D93D-4C78-9BA2-64EFB596B76F,0.532,0.874,21.811,1.704
3D8413B8-A601-4FD3-B2E0-4E2BAB341D36,0.602,0.917,14.687,1.078
48A61A3F-238C-4D59-B1F7-A0ABC6B62CBA,0.477,0.854,17.320,1.350
1DE22989-089C-4D86-B9A9-EC3993074E0C,0.588,0.916,9.822,0.903
B55A58C1-5B0A-422D-8211-9F628C2BE00D,0.485,0.719,4.976,0.275
9E9EE669-76DF-433A-9642-FD0C7A88D474,0.601,0.814,5.996,0.427
ED4AC733-3C93-4C7E-B8ED-A0783C4E0E57,0.463,0.859,17.684,1.209
DCD94F12-D114-4322-AC81-E4E5A1560601,0.520,0.858,24.938,1.532
3BA08905-9845-410C-8736-7D30CD6D4C95,0.504,0.753,1.221,0.115
3776101D-9951-4367-9FEF-9EEC0A299E79,0.493,0.755,1.090,0.097
18C69D93-7384-47D4-B07B-94837ACA4AF1,0.542,0.760,2.596,0.153
150B2D59-9D69-4BCF-9C7C-DB3094A08B42,0.527,0.755,1.216,0.100
18E45C62-9715-4CE9-BCC1-795F30E3CCF0,0.310,0.483,3.383,0.227
DBC12FF4-8385-4C24-9286-87A04AE30649,0.314,0.470,1.268,0.089
672A8E0D-F292-4F99-A826-AD8BAABA6EFC,0.317,0.493,4.210,0.269
E1A2D670-4630-47D0-86D2-888620B31B00,0.287,0.469,2.872,0.160
1A028CF7-F3F0-46DE-837B-E2FD2171655E,0.322,0.485,2.613,0.171
23E5BAC4-98F8-450F-AE26-B16C4AEB3FA2,0.460,0.605,8.392,0.459
2CD414E2-CAF1-4AB6-972A-54017D2FFD19,0.339,0.451,1.956,0.142
3AC8718C-8FD9-4217-994A-B21DE5F9E0FD,0.442,0.567,1.296,0.089
9C0B4490-56F7-4D2E-AD8E-6826735ED286,0.338,0.467,2.305,0.147
0BB15E7E-C838-4C82-8922-B20F8E8497E7,0.444,0.585,2.741,0.189
EC3F6D3B-9CE8-459D-93CA-43A36CEFEAF8,0.347,0.469,4.464,0.277
829B4A08-8A89-4416-B8D5-0F269A9B55B5,0.422,0.614,4.467,0.238
C0A645D5-9A0B-4A02-9EDB-68D88D21D32D,0.268,0.317,0.466,0.039
FD8DC000-6BEE-4AAA-BC79-7095502CA59B,0.262,0.331,3.734,0.202
7ECDFB57-D9BF-445B-8D5A-7D178B23F4F0,0.262,0.327,1.978,0.103
F161DC34-10A3-47A6-AD8E-F129BBE7B416,0.272,0.376,5.380,0.409
32EB54C9-35B2-4DB9-8DB2-E21C11659E90,0.696,0.975,2.436,0.162
99D9236B-77E6-44BC-9A71-04B0D64A14E0,0.643,0.968,1.470,0.121
45C21413-42E3-471A-973C-31BD9A6E2BB5,0.662,0.975,1.647,0.141
CE960725-AEFA-42FB-A84A-D0CE779C1F83,0.687,0.973,1.911,0.131
93F23B9D-633D-471D-A034-7D7B5EAA6086,1.263,1.477,2.438,0.114
284DACE2-B1BF-4FBE-8848-BFEE20C775FC,1.212,1.462,2.844,0.123
C1373983-8043-4F73-A6B9-60667B7F0457,1.124,1.442,2.391,0.110
9C039552-BDC9-4163-B55E-0016C5B5CAFF,1.140,1.417,3.559,0.156
