uuid,cloud,machine type,date YYYYMMDD,runID
7F34814E-701F-4E56-A351-2191F726914D,azure,Standard_GS4,20190916,6
163B51D3-508A-48C6-B5D2-FB3194AB1629,azure,Standard_GS4,20190916,3
303540C9-566B-4059-9164-10FE22867EE5,azure,Standard_GS4,20190916,2
473A0F6B-D932-47D4-B535-CC0088140C7C,azure,Standard_GS4,20190916,5
B70F0BBB-54FD-44E3-AE5A-4A369FC409A4,azure,Standard_E16s_v3,20190912,0
72B24A17-7766-44D6-93DE-777D6054D76B,azure,Standard_E16s_v3,20190912,1
B19D7B53-1BAC-4BF2-A9E6-D25A741AEA6D,azure,Standard_E16s_v3,20190912,3
D5A3631C-679B-46A4-B8ED-B1B0D3ABA8F5,azure,Standard_E16s_v3,20190912,2
F5310698-ED6E-4068-98CF-C59F4A079CB9,azure,Standard_E16s_v3,20190911,9
95DD8867-87D2-42AA-A3B5-5F98CF2A5565,azure,Standard_E16s_v3,20190911,1
2375433E-6407-4578-8CC4-14DF397419CE,azure,Standard_E16s_v3,20190911,7
868C1552-B237-452E-AD8F-6187F3C52A0D,azure,Standard_E16s_v3,20190911,6
96C0CE57-0226-4EDE-938E-8BC385E089FD,azure,Standard_E16s_v3,20190911,1
F41533C1-985D-4DCA-AF0D-1B697D4FB86E,azure,Standard_E16s_v3,20190911,8
C960D560-5B89-4087-BAE2-5999C964E9B7,azure,Standard_E16s_v3,20190911,4
43648F14-14B9-4885-9A6A-18CC7D7B92A8,azure,Standard_E16s_v3,20190911,2
8C137133-A8F1-4A72-B615-141C1B3775E9,azure,Standard_E16s_v3,20190911,5
8DE80747-C73A-47A4-B630-ED82632044F5,azure,Standard_E16s_v3,20190916,0
6214B7E2-DF0D-407E-B10F-E5318DF07FF9,azure,Standard_E16s_v3,20190916,1
E12629F1-6F1F-400E-81B3-9381AE19CB3F,azure,Standard_E16s_v3,20190916,4
042F2FD6-2EC4-40F6-97E3-1E5FB5DFDD4F,azure,Standard_E16s_v3,20190916,3
0414B74D-3435-41FF-8173-1B0219961250,azure,Standard_F16s_v2,20190912,0
9936F076-94D8-4696-96B8-912556C3BEA5,azure,Standard_F16s_v2,20190912,1
