PING 10.142.0.163 (10.142.0.163) 56(84) bytes of data.
64 bytes from 10.142.0.163: icmp_seq=1 ttl=64 time=1.34 ms
64 bytes from 10.142.0.163: icmp_seq=2 ttl=64 time=0.212 ms
64 bytes from 10.142.0.163: icmp_seq=3 ttl=64 time=0.208 ms
64 bytes from 10.142.0.163: icmp_seq=4 ttl=64 time=0.242 ms
64 bytes from 10.142.0.163: icmp_seq=5 ttl=64 time=0.231 ms
64 bytes from 10.142.0.163: icmp_seq=6 ttl=64 time=0.227 ms
64 bytes from 10.142.0.163: icmp_seq=7 ttl=64 time=0.220 ms
64 bytes from 10.142.0.163: icmp_seq=8 ttl=64 time=0.230 ms
64 bytes from 10.142.0.163: icmp_seq=9 ttl=64 time=0.267 ms
64 bytes from 10.142.0.163: icmp_seq=10 ttl=64 time=0.226 ms
64 bytes from 10.142.0.163: icmp_seq=11 ttl=64 time=0.225 ms
64 bytes from 10.142.0.163: icmp_seq=12 ttl=64 time=0.216 ms
64 bytes from 10.142.0.163: icmp_seq=13 ttl=64 time=0.237 ms
64 bytes from 10.142.0.163: icmp_seq=14 ttl=64 time=0.213 ms
64 bytes from 10.142.0.163: icmp_seq=15 ttl=64 time=0.200 ms
64 bytes from 10.142.0.163: icmp_seq=16 ttl=64 time=0.231 ms
64 bytes from 10.142.0.163: icmp_seq=17 ttl=64 time=0.222 ms
64 bytes from 10.142.0.163: icmp_seq=18 ttl=64 time=0.226 ms
64 bytes from 10.142.0.163: icmp_seq=19 ttl=64 time=0.229 ms
64 bytes from 10.142.0.163: icmp_seq=20 ttl=64 time=0.241 ms
64 bytes from 10.142.0.163: icmp_seq=21 ttl=64 time=0.252 ms
64 bytes from 10.142.0.163: icmp_seq=22 ttl=64 time=0.278 ms
64 bytes from 10.142.0.163: icmp_seq=23 ttl=64 time=0.227 ms
64 bytes from 10.142.0.163: icmp_seq=24 ttl=64 time=0.244 ms
64 bytes from 10.142.0.163: icmp_seq=25 ttl=64 time=0.215 ms
64 bytes from 10.142.0.163: icmp_seq=26 ttl=64 time=0.207 ms
64 bytes from 10.142.0.163: icmp_seq=27 ttl=64 time=0.275 ms
64 bytes from 10.142.0.163: icmp_seq=28 ttl=64 time=0.178 ms
64 bytes from 10.142.0.163: icmp_seq=29 ttl=64 time=0.235 ms
64 bytes from 10.142.0.163: icmp_seq=30 ttl=64 time=0.241 ms
64 bytes from 10.142.0.163: icmp_seq=31 ttl=64 time=0.226 ms
64 bytes from 10.142.0.163: icmp_seq=32 ttl=64 time=0.217 ms
64 bytes from 10.142.0.163: icmp_seq=33 ttl=64 time=0.210 ms
64 bytes from 10.142.0.163: icmp_seq=34 ttl=64 time=0.205 ms
64 bytes from 10.142.0.163: icmp_seq=35 ttl=64 time=0.226 ms
64 bytes from 10.142.0.163: icmp_seq=36 ttl=64 time=0.271 ms
64 bytes from 10.142.0.163: icmp_seq=37 ttl=64 time=0.263 ms
64 bytes from 10.142.0.163: icmp_seq=38 ttl=64 time=0.200 ms
64 bytes from 10.142.0.163: icmp_seq=39 ttl=64 time=0.230 ms
64 bytes from 10.142.0.163: icmp_seq=40 ttl=64 time=0.246 ms
64 bytes from 10.142.0.163: icmp_seq=41 ttl=64 time=0.285 ms
64 bytes from 10.142.0.163: icmp_seq=42 ttl=64 time=0.255 ms
64 bytes from 10.142.0.163: icmp_seq=43 ttl=64 time=0.208 ms
64 bytes from 10.142.0.163: icmp_seq=44 ttl=64 time=0.235 ms
64 bytes from 10.142.0.163: icmp_seq=45 ttl=64 time=0.200 ms
64 bytes from 10.142.0.163: icmp_seq=46 ttl=64 time=0.235 ms
64 bytes from 10.142.0.163: icmp_seq=47 ttl=64 time=0.234 ms
64 bytes from 10.142.0.163: icmp_seq=48 ttl=64 time=0.256 ms
64 bytes from 10.142.0.163: icmp_seq=49 ttl=64 time=0.260 ms
64 bytes from 10.142.0.163: icmp_seq=50 ttl=64 time=0.204 ms
64 bytes from 10.142.0.163: icmp_seq=51 ttl=64 time=0.204 ms
64 bytes from 10.142.0.163: icmp_seq=52 ttl=64 time=0.245 ms
64 bytes from 10.142.0.163: icmp_seq=53 ttl=64 time=0.230 ms
64 bytes from 10.142.0.163: icmp_seq=54 ttl=64 time=0.211 ms
64 bytes from 10.142.0.163: icmp_seq=55 ttl=64 time=0.175 ms
64 bytes from 10.142.0.163: icmp_seq=56 ttl=64 time=0.209 ms
64 bytes from 10.142.0.163: icmp_seq=57 ttl=64 time=0.274 ms
64 bytes from 10.142.0.163: icmp_seq=58 ttl=64 time=0.253 ms
64 bytes from 10.142.0.163: icmp_seq=59 ttl=64 time=0.220 ms
64 bytes from 10.142.0.163: icmp_seq=60 ttl=64 time=0.192 ms
64 bytes from 10.142.0.163: icmp_seq=61 ttl=64 time=0.253 ms
64 bytes from 10.142.0.163: icmp_seq=62 ttl=64 time=0.241 ms
64 bytes from 10.142.0.163: icmp_seq=63 ttl=64 time=0.270 ms
64 bytes from 10.142.0.163: icmp_seq=64 ttl=64 time=0.206 ms
64 bytes from 10.142.0.163: icmp_seq=65 ttl=64 time=0.182 ms
64 bytes from 10.142.0.163: icmp_seq=66 ttl=64 time=0.211 ms
64 bytes from 10.142.0.16
