PING 10.2.0.13 (10.2.0.13) 56(84) bytes of data.
64 bytes from 10.2.0.13: icmp_seq=1 ttl=64 time=0.665 ms
64 bytes from 10.2.0.13: icmp_seq=2 ttl=64 time=0.738 ms
64 bytes from 10.2.0.13: icmp_seq=3 ttl=64 time=0.818 ms
64 bytes from 10.2.0.13: icmp_seq=4 ttl=64 time=0.719 ms
64 bytes from 10.2.0.13: icmp_seq=5 ttl=64 time=0.739 ms
64 bytes from 10.2.0.13: icmp_seq=6 ttl=64 time=0.806 ms
64 bytes from 10.2.0.13: icmp_seq=7 ttl=64 time=0.671 ms
64 bytes from 10.2.0.13: icmp_seq=8 ttl=64 time=0.701 ms
64 bytes from 10.2.0.13: icmp_seq=9 ttl=64 time=0.602 ms
64 bytes from 10.2.0.13: icmp_seq=10 ttl=64 time=0.692 ms
64 bytes from 10.2.0.13: icmp_seq=11 ttl=64 time=2.25 ms
64 bytes from 10.2.0.13: icmp_seq=12 ttl=64 time=0.794 ms
64 bytes from 10.2.0.13: icmp_seq=13 ttl=64 time=0.738 ms
64 bytes from 10.2.0.13: icmp_seq=14 ttl=64 time=0.706 ms
64 bytes from 10.2.0.13: icmp_seq=15 ttl=64 time=0.712 ms
64 bytes from 10.2.0.13: icmp_seq=16 ttl=64 time=0.693 ms
64 bytes from 10.2.0.13: icmp_seq=17 ttl=64 time=0.725 ms
64 bytes from 10.2.0.13: icmp_seq=18 ttl=64 time=0.912 ms
64 bytes from 10.2.0.13: icmp_seq=19 ttl=64 time=0.704 ms
64 bytes from 10.2.0.13: icmp_seq=20 ttl=64 time=0.679 ms
64 bytes from 10.2.0.13: icmp_seq=21 ttl=64 time=0.834 ms
64 bytes from 10.2.0.13: icmp_seq=22 ttl=64 time=0.795 ms
64 bytes from 10.2.0.13: icmp_seq=23 ttl=64 time=0.708 ms
64 bytes from 10.2.0.13: icmp_seq=24 ttl=64 time=0.694 ms
64 bytes from 10.2.0.13: icmp_seq=25 ttl=64 time=0.780 ms
64 bytes from 10.2.0.13: icmp_seq=26 ttl=64 time=0.807 ms
64 bytes from 10.2.0.13: icmp_seq=27 ttl=64 time=0.807 ms
64 bytes from 10.2.0.13: icmp_seq=28 ttl=64 time=0.771 ms
64 bytes from 10.2.0.13: icmp_seq=29 ttl=64 time=0.723 ms
64 bytes from 10.2.0.13: icmp_seq=30 ttl=64 time=0.775 ms
64 bytes from 10.2.0.13: icmp_seq=31 ttl=64 time=0.731 ms
64 bytes from 10.2.0.13: icmp_seq=32 ttl=64 time=0.766 ms
64 bytes from 10.2.0.13: icmp_seq=33 ttl=64 time=0.677 ms
64 bytes from 10.2.0.13: icmp_seq=34 ttl=64 time=0.729 ms
64 bytes from 10.2.0.13: icmp_seq=35 ttl=64 time=0.802 ms
64 bytes from 10.2.0.13: icmp_seq=36 ttl=64 time=0.798 ms
64 bytes from 10.2.0.13: icmp_seq=37 ttl=64 time=5.94 ms
64 bytes from 10.2.0.13: icmp_seq=38 ttl=64 time=0.679 ms
64 bytes from 10.2.0.13: icmp_seq=39 ttl=64 time=0.680 ms
64 bytes from 10.2.0.13: icmp_seq=40 ttl=64 time=0.777 ms
64 bytes from 10.2.0.13: icmp_seq=41 ttl=64 time=0.780 ms
64 bytes from 10.2.0.13: icmp_seq=42 ttl=64 time=0.727 ms
64 bytes from 10.2.0.13: icmp_seq=43 ttl=64 time=0.665 ms
64 bytes from 10.2.0.13: icmp_seq=44 ttl=64 time=0.777 ms
64 bytes from 10.2.0.13: icmp_seq=45 ttl=64 time=0.748 ms
64 bytes from 10.2.0.13: icmp_seq=46 ttl=64 time=0.801 ms
64 bytes from 10.2.0.13: icmp_seq=47 ttl=64 time=0.803 ms
64 bytes from 10.2.0.13: icmp_seq=48 ttl=64 time=0.777 ms
64 bytes from 10.2.0.13: icmp_seq=49 ttl=64 time=0.674 ms
64 bytes from 10.2.0.13: icmp_seq=50 ttl=64 time=0.789 ms
64 bytes from 10.2.0.13: icmp_seq=51 ttl=64 time=0.809 ms
64 bytes from 10.2.0.13: icmp_seq=52 ttl=64 time=0.755 ms
64 bytes from 10.2.0.13: icmp_seq=53 ttl=64 time=0.733 ms
64 bytes from 10.2.0.13: icmp_seq=54 ttl=64 time=0.775 ms
64 bytes from 10.2.0.13: icmp_seq=55 ttl=64 time=0.724 ms
64 bytes from 10.2.0.13: icmp_seq=56 ttl=64 time=0.850 ms
64 bytes from 10.2.0.13: icmp_seq=57 ttl=64 time=0.702 ms
64 bytes from 10.2.0.13: icmp_seq=58 ttl=64 time=0.810 ms
64 bytes from 10.2.0.13: icmp_seq=59 ttl=64 time=0.661 ms
64 bytes from 10.2.0.13: icmp_seq=60 ttl=64 time=0.761 ms
64 bytes from 10.2.0.13: icmp_seq=61 ttl=64 time=0.800 ms
64 bytes from 10.2.0.13: icmp_seq=62 ttl=64 time=0.845 ms
64 bytes from 10.2.0.13: icmp_seq=63 ttl=64 time=0.730 ms
64 bytes from 10.2.0.13: icmp_seq=64 ttl=64 time=0.750 ms
64 bytes from 10.2.0.13: icmp_seq=65 ttl=64 time=0.728 ms
64 bytes from 10.2.0.13: icmp_seq=66 ttl=64 time=0.757 ms
64 bytes from 10.2.0.13: icmp_seq=67 ttl=64 time=0.780 ms
64 bytes from 10.2.0.13: icmp_seq=68 ttl=64 time=0.871 ms
64 bytes from 10.2.0.13: icmp_seq=69 ttl=64 time=0.688 ms
64 bytes from 10.2.0.13: icmp_seq=70 ttl=64 time=0.800 ms
64 bytes from 10.2.0.13: icmp_seq=71 ttl=64 time=0.783 ms
64 bytes from 10.2.0.13: icmp_seq=72 ttl=64 time=0.690 ms
64 bytes from 10.2.0.13: icmp_seq=73 ttl=64 time=0.706 ms
64 bytes from 10.2.0.13: icmp_seq=74 ttl=64 time=0.770 ms
64 bytes from 10.2.0.13: icmp_seq=75 ttl=64 time=0.747 ms
64 bytes from 10.2.0.13: icmp_seq=76 ttl=64 time=0.857 ms
64 bytes from 10.2.0.13: icmp_seq=77 ttl=64 time=0.773 ms
64 bytes from 10.2.0.13: icmp_seq=78 ttl=64 time=0.755 ms
64 bytes from 10.2.0.13: icmp_seq=79 ttl=64 time=0.706 ms
64 bytes from 10.2.0.13: icmp_seq=80 ttl=64 time=0.724 ms
64 bytes from 10.2.0.13: icmp_seq=81 ttl=64 time=2.33 ms
64 bytes from 10.2.0.13: icmp_seq=82 ttl=64 time=0.666 ms
64 bytes from 10.2.0.13: icmp_seq=83 ttl=64 time=0.740 ms
64 bytes from 10.2.0.13: icmp_seq=84 ttl=64 time=0.734 ms
64 bytes from 10.2.0.13: icmp_seq=85 ttl=64 time=0.766 ms
64 bytes from 10.2.0.13: icmp_seq=86 ttl=64 time=0.824 ms
64 bytes from 10.2.0.13: icmp_seq=87 ttl=64 time=0.772 ms
64 bytes from 10.2.0.13: icmp_seq=88 ttl=64 time=0.762 ms
64 bytes from 10.2.0.13: icmp_seq=89 ttl=64 time=0.752 ms
64 bytes from 10.2.0.13: icmp_seq=90 ttl=64 time=0.772 ms
64 bytes from 10.2.0.13: icmp_seq=91 ttl=64 time=0.778 ms
64 bytes from 10.2.0.13: icmp_seq=92 ttl=64 time=0.769 ms
64 bytes from 10.2.0.13: icmp_seq=93 ttl=64 time=0.652 ms
64 bytes from 10.2.0.13: icmp_seq=94 ttl=64 time=0.732 ms
64 bytes from 10.2.0.13: icmp_seq=95 ttl=64 time=0.764 ms
64 bytes from 10.2.0.13: icmp_seq=96 ttl=64 time=0.698 ms
64 bytes from 10.2.0.13: icmp_seq=97 ttl=64 time=0.743 ms
64 bytes from 10.2.0.13: icmp_seq=98 ttl=64 time=0.710 ms
64 bytes from 10.2.0.13: icmp_seq=99 ttl=64 time=14.6 ms
64 bytes from 10.2.0.13: icmp_seq=100 ttl=64 time=0.841 ms
64 bytes from 10.2.0.13: icmp_seq=101 ttl=64 time=0.727 ms
64 bytes from 10.2.0.13: icmp_seq=102 ttl=64 time=0.645 ms
64 bytes from 10.2.0.13: icmp_seq=103 ttl=64 time=0.696 ms
64 bytes from 10.2.0.13: icmp_seq=104 ttl=64 time=0.676 ms
64 bytes from 10.2.0.13: icmp_seq=105 ttl=64 time=0.770 ms
64 bytes from 10.2.0.13: icmp_seq=106 ttl=64 time=0.793 ms
64 bytes from 10.2.0.13: icmp_seq=107 ttl=64 time=0.850 ms
64 bytes from 10.2.0.13: icmp_seq=108 ttl=64 time=0.813 ms
64 bytes from 10.2.0.13: icmp_seq=109 ttl=64 time=10.3 ms
