PING 10.2.0.9 (10.2.0.9) 56(84) bytes of data.
64 bytes from 10.2.0.9: icmp_seq=1 ttl=64 time=0.617 ms
64 bytes from 10.2.0.9: icmp_seq=2 ttl=64 time=0.513 ms
64 bytes from 10.2.0.9: icmp_seq=3 ttl=64 time=0.583 ms
64 bytes from 10.2.0.9: icmp_seq=4 ttl=64 time=0.594 ms
64 bytes from 10.2.0.9: icmp_seq=5 ttl=64 time=0.663 ms
64 bytes from 10.2.0.9: icmp_seq=6 ttl=64 time=0.579 ms
64 bytes from 10.2.0.9: icmp_seq=7 ttl=64 time=0.738 ms
64 bytes from 10.2.0.9: icmp_seq=8 ttl=64 time=0.715 ms
64 bytes from 10.2.0.9: icmp_seq=9 ttl=64 time=0.738 ms
64 bytes from 10.2.0.9: icmp_seq=10 ttl=64 time=0.623 ms
64 bytes from 10.2.0.9: icmp_seq=11 ttl=64 time=0.692 ms
64 bytes from 10.2.0.9: icmp_seq=12 ttl=64 time=0.678 ms
64 bytes from 10.2.0.9: icmp_seq=13 ttl=64 time=0.790 ms
64 bytes from 10.2.0.9: icmp_seq=14 ttl=64 time=0.570 ms
64 bytes from 10.2.0.9: icmp_seq=15 ttl=64 time=0.587 ms
64 bytes from 10.2.0.9: icmp_seq=16 ttl=64 time=0.589 ms
64 bytes from 10.2.0.9: icmp_seq=17 ttl=64 time=0.569 ms
64 bytes from 10.2.0.9: icmp_seq=18 ttl=64 time=0.504 ms
64 bytes from 10.2.0.9: icmp_seq=19 ttl=64 time=0.749 ms
64 bytes from 10.2.0.9: icmp_seq=20 ttl=64 time=0.548 ms
64 bytes from 10.2.0.9: icmp_seq=21 ttl=64 time=0.844 ms
64 bytes from 10.2.0.9: icmp_seq=22 ttl=64 time=0.843 ms
64 bytes from 10.2.0.9: icmp_seq=23 ttl=64 time=0.582 ms
64 bytes from 10.2.0.9: icmp_seq=24 ttl=64 time=0.781 ms
64 bytes from 10.2.0.9: icmp_seq=25 ttl=64 time=0.562 ms
64 bytes from 10.2.0.9: icmp_seq=26 ttl=64 time=0.545 ms
64 bytes from 10.2.0.9: icmp_seq=27 ttl=64 time=0.642 ms
64 bytes from 10.2.0.9: icmp_seq=28 ttl=64 time=0.546 ms
64 bytes from 10.2.0.9: icmp_seq=29 ttl=64 time=0.584 ms
64 bytes from 10.2.0.9: icmp_seq=30 ttl=64 time=0.545 ms
64 bytes from 10.2.0.9: icmp_seq=31 ttl=64 time=0.617 ms
64 bytes from 10.2.0.9: icmp_seq=32 ttl=64 time=0.734 ms
64 bytes from 10.2.0.9: icmp_seq=33 ttl=64 time=0.470 ms
64 bytes from 10.2.0.9: icmp_seq=34 ttl=64 time=0.570 ms
64 bytes from 10.2.0.9: icmp_seq=35 ttl=64 time=0.637 ms
64 bytes from 10.2.0.9: icmp_seq=36 ttl=64 time=0.632 ms
64 bytes from 10.2.0.9: icmp_seq=37 ttl=64 time=0.602 ms
64 bytes from 10.2.0.9: icmp_seq=38 ttl=64 time=0.663 ms
64 bytes from 10.2.0.9: icmp_seq=39 ttl=64 time=0.533 ms
64 bytes from 10.2.0.9: icmp_seq=40 ttl=64 time=0.501 ms
64 bytes from 10.2.0.9: icmp_seq=41 ttl=64 time=0.700 ms
64 bytes from 10.2.0.9: icmp_seq=42 ttl=64 time=0.529 ms
64 bytes from 10.2.0.9: icmp_seq=43 ttl=64 time=0.610 ms
64 bytes from 10.2.0.9: icmp_seq=44 ttl=64 time=0.578 ms
64 bytes from 10.2.0.9: icmp_seq=45 ttl=64 time=0.455 ms
64 bytes from 10.2.0.9: icmp_seq=46 ttl=64 time=0.577 ms
64 bytes from 10.2.0.9: icmp_seq=47 ttl=64 time=0.664 ms
64 bytes from 10.2.0.9: icmp_seq=48 ttl=64 time=0.598 ms
64 bytes from 10.2.0.9: icmp_seq=49 ttl=64 time=0.598 ms
64 bytes from 10.2.0.9: icmp_seq=50 ttl=64 time=0.522 ms
64 bytes from 10.2.0.9: icmp_seq=51 ttl=64 time=0.521 ms
64 bytes from 10.2.0.9: icmp_seq=52 ttl=64 time=0.673 ms
64 bytes from 10.2.0.9: icmp_seq=53 ttl=64 time=0.488 ms
64 bytes from 10.2.0.9: icmp_seq=54 ttl=64 time=0.562 ms
64 bytes from 10.2.0.9: icmp_seq=55 ttl=64 time=0.561 ms
64 bytes from 10.2.0.9: icmp_seq=56 ttl=64 time=0.693 ms
64 bytes from 10.2.0.9: icmp_seq=57 ttl=64 time=0.513 ms
64 bytes from 10.2.0.9: icmp_seq=58 ttl=64 time=0.516 ms
64 bytes from 10.2.0.9: icmp_seq=59 ttl=64 time=0.666 ms
64 bytes from 10.2.0.9: icmp_seq=60 ttl=64 time=0.784 ms
64 bytes from 10.2.0.9: icmp_seq=61 ttl=64 time=0.551 ms
64 bytes from 10.2.0.9: icmp_seq=62 ttl=64 time=0.477 ms
64 bytes from 10.2.0.9: icmp_seq=63 ttl=64 time=0.429 ms
64 bytes from 10.2.0.9: icmp_seq=64 ttl=64 time=0.593 ms
64 bytes from 10.2.0.9: icmp_seq=65 ttl=64 time=0.501 ms
64 bytes from 10.2.0.9: icmp_seq=66 ttl=64 time=0.614 ms
64 bytes from 10.2.0.9: icmp_seq=67 ttl=64 time=0.553 ms
64 bytes from 10.2.0.9: icmp_seq=68 ttl=64 time=0.675 ms
64 bytes from 10.2.0.9: icmp_seq=69 ttl=64 time=0.697 ms
64 bytes from 10.2.0.9: icmp_seq=70 ttl=64 time=0.708 ms
64 bytes from 10.2.0.9: icmp_seq=71 ttl=64 time=0.554 ms
64 bytes from 10.2.0.9: icmp_seq=72 ttl=64 time=0.524 ms
64 bytes from 10.2.0.9: icmp_seq=73 ttl=64 time=0.744 ms
64 bytes from 10.2.0.9: icmp_seq=74 ttl=64 time=0.798 ms
64 bytes from 10.2.0.9: icmp_seq=75 ttl=64 time=0.653 ms
64 bytes from 10.2.0.9: icmp_seq=76 ttl=64 time=0.599 ms
64 bytes from 10.2.0.9: icmp_seq=77 ttl=64 time=0.481 ms
64 bytes from 10.2.0.9: icmp_seq=78 ttl=64 time=0.617 ms
64 bytes from 10.2.0.9: icmp_seq=79 ttl=64 time=0.477 ms
64 bytes from 10.2.0.9: icmp_seq=80 ttl=64 time=0.569 ms
64 bytes from 10.2.0.9: icmp_seq=81 ttl=64 time=0.547 ms
64 bytes from 10.2.0.9: icmp_seq=82 ttl=64 time=0.603 ms
64 bytes from 10.2.0.9: icmp_seq=83 ttl=64 time=0.632 ms
64 bytes from 10.2.0.9: icmp_seq=84 ttl=64 time=0.471 ms
64 bytes from 10.2.0.9: icmp_seq=85 ttl=64 time=0.644 ms
64 bytes from 10.2.0.9: icmp_seq=86 ttl=64 time=0.494 ms
64 bytes from 10.2.0.9: icmp_seq=87 ttl=64 time=0.609 ms
64 bytes from 10.2.0.9: icmp_seq=88 ttl=64 time=0.704 ms
64 bytes from 10.2.0.9: icmp_seq=89 ttl=64 time=0.658 ms
