PING 10.2.0.11 (10.2.0.11) 56(84) bytes of data.
64 bytes from 10.2.0.11: icmp_seq=1 ttl=64 time=0.642 ms
64 bytes from 10.2.0.11: icmp_seq=2 ttl=64 time=0.563 ms
64 bytes from 10.2.0.11: icmp_seq=3 ttl=64 time=0.591 ms
64 bytes from 10.2.0.11: icmp_seq=4 ttl=64 time=0.549 ms
64 bytes from 10.2.0.11: icmp_seq=5 ttl=64 time=0.552 ms
64 bytes from 10.2.0.11: icmp_seq=6 ttl=64 time=0.560 ms
64 bytes from 10.2.0.11: icmp_seq=7 ttl=64 time=0.526 ms
64 bytes from 10.2.0.11: icmp_seq=8 ttl=64 time=0.558 ms
64 bytes from 10.2.0.11: icmp_seq=9 ttl=64 time=0.628 ms
64 bytes from 10.2.0.11: icmp_seq=10 ttl=64 time=0.705 ms
64 bytes from 10.2.0.11: icmp_seq=11 ttl=64 time=0.491 ms
64 bytes from 10.2.0.11: icmp_seq=12 ttl=64 time=0.907 ms
64 bytes from 10.2.0.11: icmp_seq=13 ttl=64 time=0.532 ms
64 bytes from 10.2.0.11: icmp_seq=14 ttl=64 time=0.567 ms
64 bytes from 10.2.0.11: icmp_seq=15 ttl=64 time=0.583 ms
64 bytes from 10.2.0.11: icmp_seq=16 ttl=64 time=0.561 ms
64 bytes from 10.2.0.11: icmp_seq=17 ttl=64 time=0.557 ms
64 bytes from 10.2.0.11: icmp_seq=18 ttl=64 time=0.585 ms
64 bytes from 10.2.0.11: icmp_seq=19 ttl=64 time=0.599 ms
64 bytes from 10.2.0.11: icmp_seq=20 ttl=64 time=0.579 ms
64 bytes from 10.2.0.11: icmp_seq=21 ttl=64 time=0.524 ms
64 bytes from 10.2.0.11: icmp_seq=22 ttl=64 time=0.526 ms
64 bytes from 10.2.0.11: icmp_seq=23 ttl=64 time=0.586 ms
64 bytes from 10.2.0.11: icmp_seq=24 ttl=64 time=0.628 ms
64 bytes from 10.2.0.11: icmp_seq=25 ttl=64 time=0.637 ms
64 bytes from 10.2.0.11: icmp_seq=26 ttl=64 time=0.573 ms
64 bytes from 10.2.0.11: icmp_seq=27 ttl=64 time=0.547 ms
64 bytes from 10.2.0.11: icmp_seq=28 ttl=64 time=0.561 ms
64 bytes from 10.2.0.11: icmp_seq=29 ttl=64 time=0.541 ms
64 bytes from 10.2.0.11: icmp_seq=30 ttl=64 time=0.481 ms
64 bytes from 10.2.0.11: icmp_seq=31 ttl=64 time=0.522 ms
64 bytes from 10.2.0.11: icmp_seq=32 ttl=64 time=0.535 ms
64 bytes from 10.2.0.11: icmp_seq=33 ttl=64 time=0.534 ms
64 bytes from 10.2.0.11: icmp_seq=34 ttl=64 time=0.529 ms
64 bytes from 10.2.0.11: icmp_seq=35 ttl=64 time=0.597 ms
64 bytes from 10.2.0.11: icmp_seq=36 ttl=64 time=0.602 ms
64 bytes from 10.2.0.11: icmp_seq=37 ttl=64 time=0.529 ms
64 bytes from 10.2.0.11: icmp_seq=38 ttl=64 time=0.622 ms
64 bytes from 10.2.0.11: icmp_seq=39 ttl=64 time=0.578 ms
64 bytes from 10.2.0.11: icmp_seq=40 ttl=64 time=0.719 ms
64 bytes from 10.2.0.11: icmp_seq=41 ttl=64 time=0.550 ms
64 bytes from 10.2.0.11: icmp_seq=42 ttl=64 time=0.546 ms
64 bytes from 10.2.0.11: icmp_seq=43 ttl=64 time=0.523 ms
64 bytes from 10.2.0.11: icmp_seq=44 ttl=64 time=0.602 ms
64 bytes from 10.2.0.11: icmp_seq=45 ttl=64 time=0.576 ms
64 bytes from 10.2.0.11: icmp_seq=46 ttl=64 time=0.570 ms
